"state","year","month","outage_count","max_outage_duration","customer_weighted_hours"
"MT",2015,0,89,36.5,238114.5
"MT",2015,1,9,3.75,17815.25
"MT",2015,2,5,1.5,5181
"MT",2015,3,2,1.75,1035
"MT",2015,4,6,2.25,4717.75
"MT",2015,5,2,3,5045.25
"MT",2015,6,7,1,10864.75
"MT",2015,7,5,7.25,2972.5
"MT",2015,8,5,1.75,929.25
"MT",2015,9,3,3.75,5034.75
"MT",2015,10,7,2.75,9393
"MT",2015,11,25,36.5,135039.25
"MT",2015,12,13,12.25,40086.75
"NE",2015,0,194,20.25,330997.25
"NE",2015,1,3,1,1975
"NE",2015,2,1,1.5,303
"NE",2015,3,1,1.25,375
"NE",2015,4,0,0,0
"NE",2015,5,3,3.75,2987.75
"NE",2015,6,29,3,24538
"NE",2015,7,41,20.25,139304.5
"NE",2015,8,38,13,84322
"NE",2015,9,30,7.25,29076.25
"NE",2015,10,19,4.5,12249
"NE",2015,11,16,11.25,22341
"NE",2015,12,13,4.75,13525.75
"NV",2015,0,388,53,1120702
"NV",2015,1,0,0,0
"NV",2015,2,0,0,0
"NV",2015,3,0,0,0
"NV",2015,4,0,0,0
"NV",2015,5,0,0,0
"NV",2015,6,46,14.5,147130
"NV",2015,7,87,12.25,123339.5
"NV",2015,8,53,41.25,203461.5
"NV",2015,9,38,5.5,48676.75
"NV",2015,10,45,14.5,61938.75
"NV",2015,11,74,53,495201.75
"NV",2015,12,45,6.75,40953.75
"NH",2015,0,739,31.5,1465186
"NH",2015,1,51,5.75,61171.5
"NH",2015,2,39,9.25,40494.25
"NH",2015,3,51,11,117904.5
"NH",2015,4,41,7.5,46796.75
"NH",2015,5,5,7.75,8818.25
"NH",2015,6,79,14.5,132453
"NH",2015,7,118,31.5,434100.25
"NH",2015,8,124,17.75,276158.5
"NH",2015,9,55,7.25,74745.75
"NH",2015,10,62,5.75,104954.5
"NH",2015,11,69,14,75753.75
"NH",2015,12,45,4.5,91835
"NJ",2015,0,3707,50.5,17522016.5
"NJ",2015,1,146,12,156501
"NJ",2015,2,145,11,199658
"NJ",2015,3,251,10,247564.5
"NJ",2015,4,271,12,294198
"NJ",2015,5,241,12.25,254075.25
"NJ",2015,6,389,50.5,12982003.75
"NJ",2015,7,275,10.25,289105.25
"NJ",2015,8,370,16.5,699601
"NJ",2015,9,350,14.5,601152.75
"NJ",2015,10,475,18.25,789205
"NJ",2015,11,353,10.5,446412.75
"NJ",2015,12,441,9,562539.25
"NM",2015,0,522,23.25,1208111.75
"NM",2015,1,5,4.25,32394.75
"NM",2015,2,2,1.75,2013.5
"NM",2015,3,2,1.75,2343
"NM",2015,4,0,0,0
"NM",2015,5,28,6.75,96239
"NM",2015,6,79,10.25,119442
"NM",2015,7,107,16.25,209749
"NM",2015,8,94,9.5,171093.5
"NM",2015,9,45,5,43949.5
"NM",2015,10,51,10.75,76503
"NM",2015,11,55,10,99962.25
"NM",2015,12,54,23.25,354422.25
"NY",2015,0,5556,96,10623830.25
"NY",2015,1,293,53,546585.75
"NY",2015,2,246,64.5,659351.25
"NY",2015,3,360,96,871706
"NY",2015,4,328,14.5,572749
"NY",2015,5,506,16.75,837110.25
"NY",2015,6,987,43.5,1748058.5
"NY",2015,7,641,32,1418791.75
"NY",2015,8,492,18,1106810
"NY",2015,9,487,35.25,899305.75
"NY",2015,10,484,19.5,645838.75
"NY",2015,11,420,14.25,726170
"NY",2015,12,312,23.5,591353.25
"NC",2015,0,4329,60.25,11274513.25
"NC",2015,1,194,30.75,297543
"NC",2015,2,510,48.25,4984110.25
"NC",2015,3,216,10.25,267368.25
"NC",2015,4,266,12.5,398389.5
"NC",2015,5,280,16.5,427611.75
"NC",2015,6,643,35.75,1309734
"NC",2015,7,435,28,779525
"NC",2015,8,389,23.75,680323.25
"NC",2015,9,431,12.75,590227
"NC",2015,10,481,60.25,856393
"NC",2015,11,225,16.25,328851.25
"NC",2015,12,259,23.25,354437
"ND",2015,0,93,14,92677.25
"ND",2015,1,0,0,0
"ND",2015,2,3,6,2339
"ND",2015,3,1,0.75,364.5
"ND",2015,4,0,0,0
"ND",2015,5,15,4.5,8754.75
"ND",2015,6,12,2.25,10699.75
"ND",2015,7,18,14,25466.5
"ND",2015,8,12,5,9252
"ND",2015,9,6,1.75,5736.75
"ND",2015,10,11,2.75,14546
"ND",2015,11,7,2.5,11070.75
"ND",2015,12,8,4.25,4447.25
"OH",2015,0,5161,153.75,11401968.75
"OH",2015,1,279,9.25,500713.25
"OH",2015,2,260,32,521931.25
